date,retm1,retm2,retm3,retm4,retm5,retm6,retm7,retm8,retm9,retm10,retm11,retm12,retm13,retm14,retm15,retm16,retm17,retm18,retm19,retm20,retm21,retm22,retm23,retm24,retm25,retme1,retme2,retme3,retme4,retme5,retme6,retme7,retme8,retme9,retme10,retme11,retme12,retme13,retme14,retme15,retme16,retme17,retme18,retme19,retme20,retme21,retme22,retme23,retme24,retme25
20121231,6.839687,3.988623,5.034248,3.506372,1.340132,2.723361,3.309573,1.574004,-0.30351,-4.84856,4.53618,2.561535,1.852262,-0.67406,1.281758,3.821588,0.410845,2.478117,-0.39621,1.917532,-0.04763,7.792581,1.029368,5.706984,1.568237,3.89493,3.99932,3.099325,3.180435,2.092805,2.979693,3.343781,2.377181,2.756385,1.449789,4.501072,3.376529,2.624575,2.041646,0.621015,3.268742,2.361133,2.947687,1.789996,1.21274,0.972667,2.786999,2.655406,4.104491,2.260051
20130131,10.90965,9.445706,7.768449,3.847259,5.984931,4.804872,6.230463,5.666578,5.093309,-4.75161,6.985584,5.763401,6.28746,4.913628,6.348708,7.196505,8.464702,7.713644,5.741317,3.50917,7.086949,7.196129,7.442723,7.001478,7.706548,10.51469,8.498701,6.678377,6.786597,7.023209,5.396329,7.765366,6.052403,5.183979,7.063213,5.627127,6.262935,5.491364,5.799028,8.584131,6.311635,7.888703,5.922441,7.177615,7.07516,9.999186,8.280378,7.507545,8.014268,8.032242
20130228,3.064777,-3.20296,0.95255,3.087432,1.185761,-4.50706,0.852886,0.883999,3.081141,1.809245,-2.42009,0.414046,1.186302,1.916492,1.819473,1.080415,1.920983,2.43472,1.246813,1.743507,-0.97766,0.026359,-0.53962,4.43863,1.190527,0.166459,-0.49379,-0.51541,1.764169,1.420869,-1.17458,1.413569,1.571316,2.081662,2.565976,1.25892,0.25065,1.078038,2.182204,2.755713,1.854845,2.141717,0.478213,2.099482,-0.00448,-0.28969,2.470036,1.550783,0.73982,0.803201
20130328,7.234259,4.879767,3.46486,4.939558,3.269223,1.196079,3.735731,3.346661,3.701744,5.169966,1.749795,4.552542,2.787753,3.15896,4.906242,3.502862,3.581091,2.938801,5.082569,3.559691,5.178142,5.372473,6.76902,6.232982,6.925235,2.562707,4.284602,4.7392,3.367467,3.915072,3.247652,3.329741,3.915287,4.651167,4.494582,2.673881,3.245309,4.136262,4.9652,5.57569,3.4156,5.079533,5.034737,5.890577,6.154378,5.843759,6.028405,5.999272,5.159449,7.521033
20130430,3.93435,8.015724,-1.8767,-0.0308,3.509061,1.208924,-0.54692,2.708572,2.14162,2.694121,0.176774,0.738455,-0.51606,2.042734,2.975313,-1.20884,1.410119,0.808012,0.992298,0.584437,-0.18394,0.840097,0.947548,-1.2321,-1.65258,-1.72926,-0.08812,-0.81385,-0.23604,0.506048,0.570176,-0.15168,0.813102,1.364668,0.608477,-0.14477,-1.27564,-0.06647,-0.45608,2.660859,-1.1768,0.099712,-0.73532,-0.5026,-0.73975,0.134015,0.32114,0.625479,-0.57921,0.662211
20130531,3.562074,4.81491,1.568765,2.837727,0.66915,3.955325,3.541412,1.030368,-0.47357,1.956275,5.566427,3.580065,5.12443,2.546791,1.823416,3.727244,4.882193,5.821889,2.273147,4.334333,10.11732,4.662897,3.489898,0.956915,4.370354,8.058365,5.338193,4.62893,4.310779,4.939928,1.961227,5.84898,3.349265,1.638721,4.138781,7.988492,5.540745,3.991927,2.450565,5.278481,5.040764,4.323984,3.57848,3.092154,3.896369,9.237802,4.414799,4.347495,1.451021,4.002431
20130628,-1.88015,-6.28416,-0.86211,-2.60196,-1.00245,-0.86417,-2.05813,-1.14613,-0.06384,0.392722,0.835606,1.062485,-1.33845,0.18789,-2.52049,-0.48474,-1.69582,0.529945,-2.1184,-4.03337,0.183485,-0.24673,0.337008,-2.85983,-4.36211,-2.58002,0.905067,-1.53557,-0.72578,-1.31292,0.597293,-0.45969,-0.0031,0.03526,-0.10075,-0.07622,0.802549,0.287543,0.564847,-2.65737,0.077203,0.275516,0.163382,0.424311,-1.46006,1.029154,2.848741,0.361102,-0.22437,0.57306
20130731,13.41509,7.190677,5.250633,5.424595,4.34872,2.83706,3.509426,5.945289,5.71627,6.625962,3.383623,4.994662,7.307492,5.539477,9.67184,5.546141,5.204773,5.623731,4.621023,7.743064,0.712168,3.443348,8.225537,9.32641,10.2481,10.19205,7.653936,7.153248,7.659833,6.711237,8.247309,6.4004,6.53655,7.215536,5.766983,7.168566,6.109795,6.281966,6.528117,6.888071,10.2567,6.953504,7.117489,5.991724,7.007983,8.088336,6.791303,7.929121,6.866897,8.764949
20130830,4.861393,-1.66939,-1.32049,-2.29703,1.877704,-3.72046,-4.19781,-2.66795,-2.15576,-3.053,-3.89464,-3.06395,-3.2275,-2.21067,-3.13578,-4.1344,-3.93799,-2.84651,-4.15024,-4.23085,0.610086,-3.31431,-1.24416,-2.85491,-1.10577,-1.12633,-0.81188,-2.44742,-2.6179,-2.75291,-1.84576,-3.18041,-2.28224,-2.22678,-1.62982,-3.71306,-2.33147,-2.22884,-3.17774,-1.82706,-3.54215,-2.51432,-2.53299,-2.16519,-1.77958,0.226857,-1.17321,-2.57566,-2.69966,-3.20966
20130930,1.709873,2.787892,6.382505,4.730136,2.495865,0.030791,1.246334,2.218624,7.007993,5.517015,2.165994,4.226964,4.47676,4.524024,4.314033,4.583037,2.927277,4.139007,6.090953,3.222377,4.433235,6.873165,8.148727,5.605804,7.646691,6.354152,4.51003,8.326026,4.681008,5.819684,3.04729,3.934805,3.591866,5.771993,6.670848,7.225898,4.035993,5.843577,4.993157,6.567425,5.582016,5.615484,5.783932,6.631415,7.280457,5.703826,7.15627,5.50227,5.357484,8.085662
20131031,0.88418,-0.07123,3.313621,2.097876,6.87969,4.478303,4.772528,4.82259,4.974166,8.035305,0.611113,7.265722,4.343126,4.752462,3.714529,5.924556,3.271179,5.957047,4.628126,2.810932,1.402898,3.517145,1.501006,2.588049,3.239509,1.111737,2.333446,0.865333,2.863567,3.172987,3.110562,3.818823,3.447837,4.382677,6.902802,2.496171,4.339683,3.194215,4.233828,3.406715,3.298528,3.973945,3.859827,3.839291,4.247531,-0.12389,1.727969,1.810566,1.086589,2.842523
20131129,-0.47397,0.803914,1.051567,1.929218,6.552829,4.502993,3.466443,4.088376,3.27028,2.877031,4.273848,2.940088,3.582573,3.317237,3.749342,4.872903,4.567487,1.722826,3.893924,3.045776,0.225355,2.28007,1.560554,0.883646,4.279656,5.013808,4.210754,2.306735,6.476249,4.868798,3.911079,4.389437,2.965175,3.437933,4.131118,3.099646,4.187917,4.423532,4.154275,4.840285,4.577197,4.417293,4.904744,5.875025,5.284106,4.360467,4.969752,2.699587,5.043016,4.31674
