DATE,YYMM,MAX,LONG,RF
7396,198004,0.0589278157,0.0578700153,0.0086583333
7426,198005,0.0561901619,0.0541523193,0.0064583333
7457,198006,0.0012519476,0.0037293039,0.0065666667
7487,198007,0.0801042531,0.0797322867,0.0071833333
7518,198008,-0.016527015,-0.015073169,0.0083
7549,198009,-0.037346755,-0.03751408,0.0095333333
7579,198010,-0.006304906,-0.005035384,0.0105916667
7610,198011,0.0895650062,0.0838954886,0.0120666667
7640,198012,0.0160552003,0.0169281029,0.0119166667
7671,198101,-0.02576742,-0.026667553,0.0121583333
7702,198102,0.0219367708,0.0206509557,0.01185
7730,198103,0.0145101484,0.0132256784,0.0103833333
7761,198104,0.0075798962,0.0046320509,0.0123833333
7791,198105,0.0024812767,0.0020368962,0.0125833333
7822,198106,0.0266035261,0.0266122243,0.0119
7852,198107,-0.008015267,-0.008476783,0.0123916667
7883,198108,-0.047307225,-0.045030078,0.0129333333
7914,198109,0.0108412169,0.0116481512,0.01195
7944,198110,0.0673826567,0.0633987898,0.010625
7975,198111,0.018494444,0.0202766432,0.0086416667
8005,198112,-0.015464069,-0.011500695,0.0092333333
8036,198201,0.0021669065,0.0057208975,0.0104333333
8067,198202,-0.041173627,-0.040807635,0.0103666667
8095,198203,0.022844977,0.0216045094,0.01105
8126,198204,0.0385365037,0.0396275119,0.0102833333
8156,198205,-0.014908907,-0.015924649,0.0095833333
8187,198206,0.0077877684,0.0072389566,0.0106333333
8217,198207,-0.010361176,-0.005570616,0.008475
8248,198208,0.1288346238,0.125046695,0.0070166667
8279,198209,0.0215040666,0.0237835605,0.00635
8309,198210,0.0803762245,0.078722285,0.0065833333
8340,198211,0.0609398646,0.0621219989,0.0069
8370,198212,0.0466850907,0.0504796571,0.0066
8401,198301,-0.006161949,-0.006819581,0.00675
8432,198302,0.0146928705,0.0136683905,0.0066083333
8460,198303,0.061810195,0.0624010544,0.0072
8491,198304,0.0415444894,0.0459202231,0.0067333333
