DATE,max1ud01,max1ud02,max1ud03,max1ud04,max1ud05,max1ud06,max1ud07,max1ud08,max1ud09,max1ud10,imax1ud01,imax1ud02,imax1ud03,imax1ud04,imax1ud05,imax1ud06,imax1ud07,imax1ud08,imax1ud09,imax1ud10,max1cimax1c11,max1cimax1c12,max1cimax1c13,max1cimax1c14,max1cimax1c21,max1cimax1c22,max1cimax1c23,max1cimax1c24,max1cimax1c25,max1cimax1c31,max1cimax1c32,max1cimax1c33,max1cimax1c34,max1cimax1c35,max1cimax1c41,max1cimax1c42,max1cimax1c43,max1cimax1c44,max1cimax1c45,max1cimax1c52,max1cimax1c53,max1cimax1c54,max1cimax1c55,max1cimax1c51,max1cimax1c15
19660429,0.000455,0.038556,0.017630,0.017264,0.035740,0.033730,0.048053,0.035321,0.048730,0.058468,0.013500,0.019889,0.014991,0.023285,0.036373,0.046225,0.031749,0.041412,0.066403,0.036827,0.011487,0.050141,0.008050,0.147743,0.022942,0.011441,0.031016,-0.007848,0.115308,0.041850,0.007493,0.045280,0.045122,0.066382,-0.117851,0.041914,0.047685,0.038296,0.043940,0.061038,0.034959,0.050366,0.056219,,0.132075
19660531,-0.039272,-0.035000,-0.042200,-0.058233,-0.049454,-0.051664,-0.073434,-0.104188,-0.111569,-0.111276,-0.046351,-0.026717,-0.050258,-0.057737,-0.058963,-0.060651,-0.072250,-0.103061,-0.101673,-0.106857,-0.037263,-0.036755,-0.061115,-0.080455,-0.036941,-0.056328,-0.040805,-0.027254,,-0.029957,-0.065722,-0.061251,-0.068732,-0.153376,-0.086512,-0.049994,-0.084439,-0.085710,-0.088354,,-0.059995,-0.121132,-0.108984,,
19660630,-0.004919,-0.025880,-0.011416,-0.027318,-0.002743,-0.011764,0.007345,-0.007814,0.008699,0.041365,-0.022147,-0.018224,-0.006783,0.005229,0.003246,-0.004365,-0.016263,0.014592,0.008566,0.010369,-0.018249,-0.009679,-0.002636,0.029159,-0.030506,0.001115,-0.016704,-0.054786,-0.026007,-0.000652,-0.000138,-0.003707,-0.027882,0.007112,0.076660,-0.014975,0.003701,0.006524,-0.016771,0.017298,0.047638,0.047512,0.016605,-0.016287,0.333333
19660729,-0.007328,-0.006316,-0.011930,-0.015810,-0.013023,-0.014947,-0.009599,-0.028428,-0.031274,-0.016008,0.001691,-0.021206,-0.005057,-0.016883,-0.015317,-0.003003,-0.022289,-0.013081,-0.035922,-0.021350,-0.006437,-0.010357,0.021237,,-0.028736,-0.003750,-0.017748,0.009856,-0.041096,-0.012703,-0.015995,-0.009574,-0.018832,-0.058581,0.021243,-0.036137,0.001281,-0.028249,-0.021584,-0.087890,-0.005927,0.005131,-0.034343,-0.052242,
19660831,-0.059508,-0.058689,-0.081377,-0.060391,-0.087320,-0.085495,-0.107548,-0.094921,-0.068231,-0.084326,-0.060842,-0.074117,-0.061187,-0.079892,-0.103888,-0.064696,-0.097089,-0.091041,-0.098066,-0.091839,-0.056910,-0.066939,-0.103916,-0.054784,-0.084192,-0.057961,-0.074343,-0.093163,0.000000,-0.076174,-0.085622,-0.084587,-0.102887,-0.093168,-0.062965,-0.081562,-0.111697,-0.102846,-0.107026,-0.133603,0.001379,-0.053808,-0.091038,-0.173611,
19660930,0.019212,0.007065,0.001743,0.001743,-0.001997,-0.023103,-0.021011,-0.015154,-0.033589,-0.057995,-0.007459,0.010329,0.003733,-0.011880,-0.011879,0.000982,-0.019802,-0.059567,-0.021769,-0.037354,0.010691,0.012425,0.036278,0.033712,0.009804,-0.018322,-0.003009,-0.001648,-0.010730,-0.018844,0.006901,-0.011416,0.000223,-0.032246,-0.023424,-0.021923,0.002223,-0.046550,-0.001634,-0.024094,-0.015064,-0.091426,-0.038877,0.001644,
19661031,0.057746,0.052263,0.058926,0.022950,0.054570,0.074700,0.041765,0.036063,0.001856,-0.069057,0.077129,0.050301,0.033735,0.059908,0.050110,0.038564,0.013370,0.010740,0.006587,-0.035890,0.057588,0.058568,0.043984,-0.002671,0.043802,0.039746,0.032756,0.023337,0.031768,0.089626,0.027884,0.063235,0.039439,0.015024,0.143787,0.062750,0.062204,0.008527,0.010359,0.030963,-0.017753,-0.026639,-0.018758,-0.076087,
19661130,-0.022354,-0.006810,0.004025,-0.007454,0.022915,0.020062,0.061354,0.008406,0.082147,0.136263,0.030986,-0.018198,0.020970,0.013828,0.020862,0.024055,0.072873,0.026817,0.059264,0.113545,-0.017134,0.003686,-0.063342,-0.001994,-0.012339,0.008811,-0.004677,0.012363,0.077732,0.033005,0.003071,0.026120,0.035504,0.107247,0.028077,0.068487,0.034830,0.024088,0.079711,0.104329,0.174506,0.099477,0.070889,0.064514,0.266616
19661230,0.004594,-0.009433,0.018191,-0.001274,0.008524,0.009174,0.013965,0.009132,0.007631,0.020090,-0.000951,-0.000404,-0.012246,0.016903,0.016696,0.028425,0.011530,0.028151,0.017285,0.006922,-0.000941,-0.004144,0.035637,-0.012729,-0.001212,0.012348,0.028118,0.033460,-0.107143,0.039480,-0.006780,0.013191,0.026802,0.034597,-0.036247,-0.039790,0.028571,0.016413,0.031676,-0.001515,0.007617,0.017701,0.008937,0.136396,
19670131,0.075841,0.074713,0.053829,0.098970,0.091427,0.102238,0.103705,0.146337,0.134331,0.173037,0.070289,0.074503,0.086109,0.090068,0.081828,0.107586,0.103086,0.104267,0.163883,0.186831,0.076184,0.068275,0.103888,0.158416,0.066471,0.076165,0.081194,0.213407,,0.112204,0.112014,0.084218,0.089192,0.349396,0.059767,0.120678,0.136359,0.115557,0.169857,0.263889,0.163894,0.098744,0.174707,,
19670228,0.005862,0.018663,0.000531,0.012890,0.005013,0.015315,-0.002366,0.026788,0.036889,0.050608,0.009495,0.013802,-0.003372,0.007061,0.024830,0.021019,0.000614,0.018971,0.058530,0.045247,0.012593,0.004005,0.005687,0.125177,0.001300,0.002200,0.024320,-0.023399,,-0.005597,-0.005413,0.030778,-0.001539,0.040008,-0.000136,-0.001884,-0.003373,0.008994,0.049142,-0.019964,0.050611,0.023197,0.053061,-0.123256,0.155172
19670331,0.044857,0.038121,0.043917,0.042442,0.048383,0.045393,0.033831,0.047740,0.058172,0.070781,0.040547,0.038138,0.043518,0.055463,0.044010,0.040915,0.048678,0.053486,0.051818,0.064095,0.039278,0.052646,0.035520,0.038808,0.036712,0.045703,0.057911,0.051829,,0.049445,0.055180,0.036855,0.057616,0.044200,0.009773,0.032314,0.040667,0.042593,0.034719,,0.036927,0.064095,0.066132,,
19670428,0.043878,0.058914,0.028469,0.036518,0.040576,0.031811,0.048249,0.053087,0.032333,0.031728,0.062041,0.027675,0.019987,0.044946,0.050145,0.043072,0.060895,0.049866,0.018020,0.036745,0.053848,0.057394,0.065241,,0.036369,0.027081,0.039643,0.034813,0.612903,0.081107,0.016147,0.048844,0.070637,0.039736,,0.074598,0.057041,0.049571,0.018845,,0.037644,0.046935,0.027502,-0.012876,
19670531,-0.032020,-0.036198,-0.044650,-0.031551,-0.044520,-0.052596,-0.028391,-0.054970,-0.060615,-0.001918,-0.036628,-0.054276,-0.032003,-0.040985,-0.041127,-0.037095,-0.029335,-0.040874,-0.052427,-0.016568,-0.037934,-0.009876,0.052837,,-0.048525,-0.037404,-0.001780,-0.048696,0.112500,-0.078245,-0.045405,-0.050017,-0.025277,-0.054714,-0.050611,0.015219,-0.049187,-0.042418,-0.018975,0.110569,-0.119752,-0.020224,-0.040189,-0.065789,
19670630,0.019277,0.014406,0.022534,0.006866,0.043734,0.018249,0.048710,0.054881,0.086909,0.104679,0.003987,0.029336,0.017069,0.024344,0.026304,0.047773,0.042385,0.059753,0.079540,0.096546,0.017926,0.015613,0.007866,0.005028,0.013701,0.014582,0.021605,0.057410,,-0.002266,0.032435,0.035591,0.054316,0.017562,,0.056743,0.069479,0.041598,0.062483,0.129944,0.079727,0.084751,0.097207,-0.147651,
19670731,0.041471,0.023178,0.035030,0.059537,0.079873,0.059451,0.056710,0.067364,0.082535,0.081668,0.060190,0.045417,0.039917,0.011731,0.052895,0.078465,0.046822,0.075801,0.071205,0.082305,0.059795,-0.028880,0.078195,0.292683,0.035125,0.051797,0.049539,0.047485,,0.107267,0.051337,0.078836,0.049785,0.241613,0.040951,0.095575,0.047284,0.057655,0.076878,0.239264,0.119599,0.080598,0.074243,,
19670831,-0.005285,-0.000812,0.006143,-0.014273,-0.005023,-0.009524,0.010042,-0.021311,-0.019054,-0.016429,-0.008808,-0.003406,0.005583,-0.012618,0.000556,-0.007114,-0.006455,-0.003285,-0.014021,-0.031226,-0.004384,0.000775,0.028487,,-0.008949,-0.002257,-0.002255,-0.020163,,-0.004373,-0.007019,-0.006502,-0.009008,-0.051919,-0.042436,-0.011601,-0.003991,0.003759,-0.016681,,0.020349,-0.012157,-0.023164,,
19670929,0.036247,0.027023,0.031984,0.035387,0.029698,0.039962,0.030592,0.031978,0.046467,0.064169,0.038925,0.024892,0.031445,0.024714,0.021253,0.029864,0.048757,0.039683,0.042188,0.067356,0.036623,-0.004754,0.027561,0.156247,0.025913,0.038802,0.034109,0.060283,,0.037068,0.032016,0.017912,0.055382,0.041230,0.066667,0.031624,0.031316,0.029247,0.040812,0.131783,-0.034388,0.061703,0.056590,,
