T,N,C
199005,6127,0.0292648096
199006,6104,0.0287871201
199007,6099,0.0295696809
199008,6076,0.0438529172
199009,6071,0.0451504438
199010,6063,0.0412667485
199011,6083,0.0406370474
199012,6102,0.0391811896
199101,6108,0.0403765341
199102,6107,0.0425733848
199103,6118,0.0432233069
199104,6116,0.0429384372
199105,6121,0.0436125346
199106,6141,0.0439266341
199107,6139,0.0431394538
199108,6138,0.0343485501
199109,6128,0.0313681938
199110,6113,0.0284361921
199111,6090,0.0306930484
199112,6069,0.0320828963
199201,6052,0.028169355
199202,6032,0.0258658501
199203,6015,0.0256961445
199204,6006,0.0275912469
199205,6000,0.0269832424
199206,6000,0.0270346435
199207,5963,0.0274305445
199208,5961,0.0240454053
199209,5972,0.0244907869
199210,5993,0.0251830681
199211,6034,0.0226124455
199212,6056,0.0206794814
199301,6060,0.020166312
199302,6093,0.0222249827
199303,6160,0.0221446072
199304,6188,0.019522063
199305,6227,0.0195581939
199306,6264,0.0180392469
199307,6298,0.0172245377
199308,6303,0.0163908836
199309,6319,0.016710902
199310,6374,0.0155350273
199311,6399,0.0176629806
199312,6442,0.0178221508
199401,6459,0.0175016562
199402,6496,0.0167219484
199403,6556,0.0203521568
199404,6597,0.0249091956
199405,6654,0.0257291631
199406,6733,0.0274724586
199407,6805,0.0280611424
199408,6861,0.0283434144
199409,6920,0.0280246532
199410,6977,0.0294327845
199411,7065,0.029014903
199412,7152,0.0300639698
199501,7173,0.03009159
199502,7220,0.028920304
199503,7272,0.0254611532
199504,7306,0.0192769976
199505,7339,0.0186023207
199506,7373,0.0171501014
199507,7374,0.0193430789
199508,7392,0.019396513
199509,7401,0.0193796021
199510,7427,0.0201018152
199511,7440,0.018197573
199512,7453,0.0178142252
199601,7431,0.0189376925
199602,7449,0.0188192323
199603,7463,0.0219561382
199604,7487,0.0235650197
199605,7498,0.0246724418
199606,7549,0.0261644642
199607,7571,0.0334717303
199608,7602,0.0347215503
199609,7617,0.0341302542
199610,7664,0.0322900527
199611,7725,0.032545694
199612,7783,0.032713423
199701,7782,0.0322356598
199702,7815,0.0321712793
199703,7876,0.0317168778
199704,7918,0.0320369907
199705,8003,0.0330295994
199706,8053,0.0317713372
199707,8065,0.02161625
199708,8081,0.0221599025
199709,8088,0.0228133034
199710,8147,0.0392862259
199711,8207,0.0435056956
199712,8186,0.0441721355
199801,8167,0.0475545178
199802,8169,0.0474190025
199803,8135,0.0459578298
199804,8120,0.0481192097
199805,8112,0.0498025386
199806,8096,0.0524061507
199807,8092,0.0542718737
199808,8068,0.0752101096
199809,8039,0.0766478343
199810,8013,0.0760619353
199811,8032,0.0729381321
199812,7981,0.072188391
199901,7940,0.0698387945
199902,7923,0.0694330208
199903,7867,0.0674832412
199904,7844,0.0629653254
199905,7838,0.0618825385
199906,7831,0.060429258
199907,7808,0.0595035765
199908,7753,0.0442638666
199909,7683,0.0403002784
199910,7632,0.0269259907
199911,7573,0.025271113
199912,7554,0.0237021128
200001,7528,0.0243631791
200002,7498,0.0235501439
200003,7445,0.0246239541
200004,7445,0.0354177018
200005,7438,0.0375378602
200006,7424,0.0378436659
200007,7437,0.037905617
200008,7423,0.0365845553
200009,7404,0.0362535855
200010,7384,0.0389401481
200011,7361,0.0425774786
200012,7311,0.046920005
200101,7238,0.048516393
200102,7243,0.0512372009
200103,7237,0.0563218386
200104,7201,0.0533248641
200105,7161,0.0529766242
200106,7167,0.0547116889
200107,7168,0.0563534144
200108,7147,0.0585798874
200109,7144,0.0721790924
200110,7138,0.0711382173
200111,7088,0.0700507319
200112,7052,0.0685647094
200201,7007,0.0696284148
200202,6970,0.070762802
200203,6941,0.0674614473
200204,6881,0.0625585999
200205,6857,0.0637209926
200206,6838,0.0654699147
200207,6822,0.0778830912
200208,6774,0.083568535
200209,6753,0.0748692831
200210,6717,0.0818934048
200211,6704,0.0855881494
200212,6670,0.0866235443
200301,6624,0.0900250145
200302,6589,0.0908786304
200303,6535,0.0931661899
200304,6512,0.0948021834
200305,6489,0.0973872064
200306,6472,0.0988911653
200307,6441,0.0917241517
